Year,Male,Female
1965,83,4
1966,76,13
1967,198,24
1968,404,55
1969,812,121
1970,1345,199
1971,2064,324
1972,2941,461
1973,3664,640
1974,3976,780
1975,4080,953
1976,4534,1118
1977,4876,1531
1978,5349,1852
1979,6272,2447
1980,7782,3372
1981,10202,4919
1982,13218,7049
1983,15641,8924
1984,20416,12023
1985,24737,14384
1986,27208,15129
1987,25962,13805
1988,23414,11237
1989,21143,9417
1990,19159,8188
1991,17771,7388
1992,17685,7136
1993,17606,6913
1994,17528,6999
1995,17684,7053
1996,17757,6749
1997,18527,6895
1998,20372,7457
1999,22289,8263
2000,27185,10603
2001,31923,12219
2002,36462,13903
2003,41950,15483
2004,44585,14903
2005,42125,11986
2006,37905,9797
2007,34338,7826
2008,31731,6792
2009,31213,6779
2010,32414,7179
2011,35477,7589
2012,38796,8610
2013,41874,9087
2014,45320,9951
2015,48844,10742
2016,52330,12072
2017,57763,13653
2018,63703,15894
2019,70322,18316
2020,76331,20716