A Kind of Murder,Crime;Drama;Thriller,Andy Goddard,2016,95,0.0
Dead Awake,Horror;Thriller,Phillip Guzman,2016,99,0.01
Into the Forest,Drama;Sci-Fi;Thriller,Patricia Rozema,2015,101,0.01
Love  Rosie,Comedy;Romance,Christian Ditter,2014,102,0.01
Lovesong,Drama,So Yong Kim,2016,84,0.01
Wakefield,Drama,Robin Swicord,2016,106,0.01
Stake Land,Drama;Horror;Sci-Fi,Jim Mickle,2010,98,0.02
The Blackcoat's Daughter,Horror;Thriller,Oz Perkins,2015,93,0.02
The First Time,Comedy;Drama;Romance,Jon Kasdan,2012,95,0.02
The Sea of Trees,Drama,Gus Van Sant,2015,110,0.02
Equals,Drama;Romance;Sci-Fi,Drake Doremus,2015,101,0.03
Filth,Comedy;Crime;Drama,Jon S. Baird,2013,97,0.03
King Cobra,Crime;Drama,Justin Kelly,2016,91,0.03
Knock Knock,Drama;Horror;Thriller,Eli Roth,2015,99,0.03
Mr. Right,Action;Comedy;Romance,Paco Cabezas,2015,95,0.03
Sleeping Beauty,Drama;Romance,Julia Leigh,2011,101,0.03
The Daughter,Drama,Simon Stone,2015,96,0.03
A Street Cat Named Bob,Biography;Comedy;Drama,Roger Spottiswoode,2016,103,0.04
Bastille Day,Action;Crime;Drama,James Watkins,2016,92,0.04
Before We Go,Comedy;Drama;Romance,Chris Evans,2014,95,0.04
The Babysitters,Drama,David Ross,2007,88,0.04
Clown,Horror;Thriller,Jon Watts,2014,100,0.05
Half of a Yellow Sun,Drama;Romance,Biyi Bandele,2013,111,0.05
Regression,Crime;Drama;Mystery,Alejandro Amenabar,2015,106,0.05
Turbo Kid,Action;Adventure;Comedy,François Simard,2015,93,0.05
The Road,Adventure;Drama,John Hillcoat,2009,111,0.06
Trust,Crime;Drama;Thriller,David Schwimmer,2010,106,0.06
Coherence,Mystery;Sci-Fi;Thriller,James Ward Byrkit,2013,89,0.07
The Midnight Meat Train,Horror;Mystery,Ryûhei Kitamura,2008,98,0.07
Il racconto dei racconti - Tale of Tales,Drama;Fantasy;Horror,Matteo Garrone,2015,133,0.08
I Spit on Your Grave,Crime;Horror;Thriller,Steven R. Monroe,2010,108,0.09
La migliore offerta,Crime;Drama;Mystery,Giuseppe Tornatore,2013,131,0.09
Bronson,Action;Biography;Crime,Nicolas Winding Refn,2008,92,0.1
Chuck,Biography;Drama;Sport,Philippe Falardeau,2016,98,0.11
Kynodontas,Drama;Thriller,Yorgos Lanthimos,2009,94,0.11
Centurion,Action;Adventure;Drama,Neil Marshall,2010,97,0.12
Bacalaureat,Crime;Drama,Cristian Mungiu,2016,128,0.13
Hunger,Biography;Drama,Steve McQueen,2008,96,0.15
Kicks,Adventure,Justin Tipping,2016,80,0.15
The Void,Horror;Mystery;Sci-Fi,Jeremy Gillespie,2016,90,0.15
Horns,Drama;Fantasy;Horror,Alexandre Aja,2013,120,0.16
The Human Centipede (First Sequence),Horror,Tom Six,2009,92,0.18
10 Years,Comedy;Drama;Romance,Jamie Linden,2011,100,0.2
White Girl,Drama,Elizabeth Wood,2016,88,0.2
The Love Witch,Comedy;Horror,Anna Biller,2016,120,0.22
The Invitation,Drama;Mystery;Thriller,Karyn Kusama,2015,100,0.23
Carol,Drama;Romance,Todd Haynes,2015,118,0.25
Ma vie de Courgette,Animation;Comedy;Drama,Claude Barras,2016,66,0.29
Christine,Biography;Drama,Antonio Campos,2016,119,0.3
Adoration,Drama;Romance,Anne Fontaine,2013,112,0.32
Bonjour Anne,Comedy;Drama;Romance,Eleanor Coppola,2016,92,0.32
Super,Comedy;Drama,James Gunn,2010,96,0.32
The Guest,Thriller,Adam Wingard,2014,100,0.32
I Origins,Drama;Romance;Sci-Fi,Mike Cahill,2014,106,0.33
Nymphomaniac: Vol. II,Drama,Lars von Trier,2013,123,0.33
High-Rise,Drama,Ben Wheatley,2015,119,0.34
Antichrist,Drama;Horror,Lars von Trier,2009,108,0.4
Idiocracy,Adventure;Comedy;Sci-Fi,Mike Judge,2006,84,0.44
Raw (II),Drama;Horror,Julia Ducournau,2016,99,0.51
Teenage Mutant Ninja Turtles: Out of the Shadows,Action;Adventure;Comedy,Dave Green,2016,112,0.54
The Age of Shadows,Action;Drama;Thriller,Jee-woon Kim,2016,140,0.54
The Do-Over,Action;Adventure;Comedy,Steven Brill,2016,108,0.54
Knight of Cups,Drama;Romance,Terrence Malick,2015,118,0.56
All Good Things,Crime;Drama;Mystery,Andrew Jarecki,2010,101,0.58
Jagten,Drama,Thomas Vinterberg,2012,115,0.61
The Stanford Prison Experiment,Biography;Drama;History,Kyle Patrick Alvarez,2015,122,0.64
American Honey,Drama,Andrea Arnold,2016,163,0.66
Mr. Church,Comedy;Drama,Bruce Beresford,2016,104,0.69
31,Horror;Thriller,Rob Zombie,2016,102,0.78
Goksung,Drama;Fantasy;Horror,Hong-jin Na,2016,156,0.79
Nymphomaniac: Vol. I,Drama,Lars von Trier,2013,117,0.79
Sleeping with Other People,Comedy;Drama;Romance,Leslye Headland,2015,101,0.81
Frantz,Drama;History;War,François Ozon,2016,113,0.86
La tortue rouge,Animation;Fantasy,Michael Dudok de Wit,2016,80,0.92
The Babadook,Drama;Horror,Jennifer Kent,2014,93,0.92
Enemy,Mystery;Thriller,Denis Villeneuve,2013,91,1.01
The Hollars,Comedy;Drama;Romance,John Krasinski,2016,88,1.02
A Quiet Passion,Biography;Drama,Terence Davies,2016,125,1.08
Taare Zameen Par,Drama;Family;Music,Aamir Khan,2007,165,1.2
Child 44,Crime;Drama;Thriller,Daniel Espinosa,2015,137,1.21
Funny Games,Crime;Drama;Horror,Michael Haneke,2007,111,1.29
Personal Shopper,Drama;Mystery;Thriller,Olivier Assayas,2016,105,1.29
The Kings of Summer,Adventure;Comedy;Drama,Jordan Vogt-Roberts,2013,95,1.29
The Neon Demon,Horror;Thriller,Nicolas Winding Refn,2016,118,1.33
Genius,Biography;Drama,Michael Grandage,2016,104,1.36
Locke,Drama,Steven Knight,2013,85,1.36
Dear Zindagi,Drama;Romance,Gauri Shinde,2016,151,1.4
Toni Erdmann,Comedy;Drama,Maren Ade,2016,162,1.48
The Comedian,Comedy,Taylor Hackford,2016,120,1.66
Billy Lynn's Long Halftime Walk,Drama;War,Ang Lee,2016,113,1.72
We Need to Talk About Kevin,Drama;Mystery;Thriller,Lynne Ramsay,2011,112,1.74
Free Fire,Action;Comedy;Crime,Ben Wheatley,2016,90,1.8
Demolition,Comedy;Drama,Jean-Marc Vallee,2015,101,1.82
Tusk,Comedy;Drama;Horror,Kevin Smith,2014,102,1.82
Legend,Biography;Crime;Drama,Brian Helgeland,2015,132,1.87
Shin Gojira,Action;Adventure;Drama,Hideaki Anno,2016,120,1.91
A Bigger Splash,Drama;Thriller,Luca Guadagnino,2015,125,1.98
Ah-ga-ssi,Drama;Mystery;Romance,Chan-wook Park,2016,144,2.01
The Dressmaker,Comedy;Drama,Jocelyn Moorhouse,2015,119,2.02
Busanhaeng,Action;Drama;Horror,Sang-ho Yeon,2016,118,2.13
Paterson,Comedy;Drama;Romance,Jim Jarmusch,2016,118,2.14
Collide,Action;Crime;Thriller,Eran Creevy,2016,99,2.2
La vie d'Adèle,Drama;Romance,Abdellatif Kechiche,2013,180,2.2
The Host,Comedy;Drama;Horror,Bong Joon Ho,2006,120,2.2
Perfume: The Story of a Murderer,Crime;Drama;Fantasy,Tom Tykwer,2006,147,2.21
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama;Thriller,Joseph Cedar,2016,118,2.27
The Fall,Adventure;Comedy;Drama,Tarsem Singh,2006,117,2.28
Trance,Crime;Drama;Mystery,Danny Boyle,2013,101,2.32
She's the Man,Comedy;Romance;Sport,Andy Fickman,2006,105,2.34
The Disappointments Room,Drama;Horror;Thriller,D.J. Caruso,2016,85,2.41
Under the Skin,Drama;Horror;Sci-Fi,Jonathan Glazer,2013,108,2.61
Youth,Comedy;Drama;Music,Paolo Sorrentino,2015,124,2.7
Colossal,Action;Comedy;Drama,Nacho Vigalondo,2016,109,2.87
Anthropoid,Biography;History;Thriller,Sean Ellis,2016,120,2.96
Melancholia,Drama,Lars von Trier,2011,135,3.03
Their Finest,Comedy;Drama;Romance,Lone Scherfig,2016,117,3.18
The Skin I Live In,Drama;Thriller,Pedro Almodovar,2011,120,3.19
Green Room,Crime;Horror;Thriller,Jeremy Saulnier,2015,95,3.22
Sing Street,Comedy;Drama;Music,John Carney,2016,106,3.23
What We Do in the Shadows,Comedy;Fantasy;Horror,Jemaine Clement,2014,86,3.33
En man som heter Ove,Comedy;Drama,Hannes Holm,2015,116,3.36
Everybody Wants Some!!,Comedy,Richard Linklater,2016,117,3.37
Forushande,Drama;Thriller,Asghar Farhadi,2016,124,3.4
Indignation,Drama;Romance,James Schamus,2016,110,3.4
Miss Sloane,Drama;Thriller,John Madden,2016,132,3.44
What If,Comedy;Romance,Michael Dowse,2013,98,3.45
Mommy,Drama,Xavier Dolan,2014,139,3.49
We Are Your Friends,Drama;Music;Romance,Max Joseph,2015,96,3.59
Scouts Guide to the Zombie Apocalypse,Action;Comedy;Horror,Christopher Landon,2015,93,3.64
Rules Don't Apply,Comedy;Drama;Romance,Warren Beatty,2016,127,3.65
Sunshine,Adventure;Sci-Fi;Thriller,Danny Boyle,2007,107,3.68
Midnight Special,Drama;Mystery;Sci-Fi,Jeff Nichols,2016,112,3.71
A Monster Calls,Drama;Fantasy,J.A. Bayona,2016,108,3.73
Max Steel,Action;Adventure;Family,Stewart Hendler,2016,92,3.77
Sleight,Action;Drama;Sci-Fi,J.D. Dillard,2016,89,3.85
The Man Who Knew Infinity,Biography;Drama,Matt Brown,2015,108,3.86
A United Kingdom,Biography;Drama;Romance,Amma Asante,2016,111,3.9
The Assassination of Jesse James by the Coward Robert Ford,Biography;Crime;Drama,Andrew Dominik,2007,160,3.9
Morgan,Horror;Sci-Fi;Thriller,Luke Scott,2016,92,3.91
Shame,Drama,Steve McQueen,2011,101,4.0
Denial,Biography;Drama,Mick Jackson,2016,109,4.07
A Hologram for the King,Comedy;Drama,Tom Tykwer,2016,98,4.2
Lowriders,Drama,Ricardo de Montreuil,2016,99,4.21
Swiss Army Man,Adventure;Comedy;Drama,Dan Kwan,2016,97,4.21
Dear White People,Comedy;Drama,Justin Simien,2014,108,4.4
Don't Think Twice,Comedy;Drama,Mike Birbiglia,2016,92,4.42
Snowpiercer,Action;Drama;Sci-Fi,Bong Joon Ho,2013,126,4.56
Kimi no na wa,Animation;Drama;Fantasy,Makoto Shinkai,2016,106,4.68
Hands of Stone,Action;Biography;Drama,Jonathan Jakubowicz,2016,111,4.71
Bleed for This,Biography;Drama;Sport,Ben Younger,2016,117,4.85
Moon,Drama;Mystery;Sci-Fi,Duncan Jones,2009,97,5.01
Hunt for the Wilderpeople,Adventure;Comedy;Drama,Taika Waititi,2016,101,5.2
Rescue Dawn,Adventure;Biography;Drama,Werner Herzog,2006,120,5.48
20th Century Women,Comedy;Drama,Mike Mills,2016,119,5.66
RocknRolla,Action;Crime;Thriller,Guy Ritchie,2008,114,5.69
Closed Circuit,Crime;Drama;Mystery,John Crowley,2013,96,5.73
Victor Frankenstein,Drama;Horror;Sci-Fi,Paul McGuigan,2015,110,5.77
Captain Fantastic,Comedy;Drama,Matt Ross,2016,118,5.88
The Loft,Mystery;Romance;Thriller,Erik Van Looy,2014,108,5.98
The Interview,Comedy,Evan Goldberg,2014,112,6.11
Bahubali: The Beginning,Action;Adventure;Drama,S.S. Rajamouli,2015,159,6.5
3 Idiots,Comedy;Drama,Rajkumar Hirani,2009,170,6.52
The Rise of the Krays,Crime;Drama,Zackary Adler,2015,110,6.53
Me and Earl and the Dying Girl,Comedy;Drama,Alfonso Gomez-Rejon,2015,105,6.74
The Spectacular Now,Comedy;Drama;Romance,James Ponsoldt,2013,95,6.85
Grimsby,Action;Adventure;Comedy,Louis Leterrier,2016,83,6.86
Incendies,Drama;Mystery;War,Denis Villeneuve,2010,131,6.86
Shut In,Drama;Horror;Thriller,Farren Blackburn,2016,91,6.88
Take Me Home Tonight,Comedy;Drama;Romance,Michael Dowse,2011,97,6.92
Silence,Adventure;Drama;History,Martin Scorsese,2016,161,7.08
Blackhat,Crime;Drama;Mystery,Michael Mann,2015,133,7.1
The Green Inferno,Adventure;Horror,Eli Roth,2013,100,7.19
Gold,Adventure;Drama;Thriller,Stephen Gaghan,2016,120,7.22
A Good Year,Comedy;Drama;Romance,Ridley Scott,2006,117,7.46
The Imaginarium of Doctor Parnassus,Adventure;Fantasy;Mystery,Terry Gilliam,2009,123,7.69
Loving,Biography;Drama;Romance,Jeff Nichols,2016,123,7.7
In Bruges,Comedy;Crime;Drama,Martin McDonagh,2008,107,7.76
Slither,Comedy;Horror;Sci-Fi,James Gunn,2006,95,7.77
Vampire Academy,Action;Comedy;Fantasy,Mark Waters,2014,104,7.79
The Lost City of Z,Action;Adventure;Biography,James Gray,2016,141,8.01
Inherent Vice,Comedy;Crime;Drama,Paul Thomas Anderson,2014,148,8.09
A Cure for Wellness,Drama;Fantasy;Horror,Gore Verbinski,2016,146,8.1
The Lobster,Comedy;Drama;Romance,Yorgos Lanthimos,2015,119,8.7
Queen of Katwe,Biography;Drama;Sport,Mira Nair,2016,124,8.81
Movie 43,Comedy;Romance,Elizabeth Banks,2013,94,8.83
The Boy in the Striped Pyjamas,Drama;War,Mark Herman,2008,94,9.03
Hardcore Henry,Action;Adventure;Sci-Fi,Ilya Naishuller,2015,96,9.24
Dragonball Evolution,Action;Adventure;Fantasy,James Wong,2009,85,9.35
Popstar: Never Stop Never Stopping,Comedy;Music,Akiva Schaffer,2016,87,9.39
Rock Dog,Animation;Adventure;Comedy,Ash Brannon,2016,90,9.4
Blue Valentine,Drama;Romance,Derek Cianfrance,2010,112,9.7
The Fountain,Drama;Sci-Fi,Darren Aronofsky,2006,96,10.14
The Walk,Adventure;Biography;Crime,Robert Zemeckis,2015,123,10.14
The Belko Experiment,Action;Horror;Thriller,Greg McLean,2016,89,10.16
Pandorum,Action;Horror;Mystery,Christian Alvart,2009,108,10.33
Live by Night,Crime;Drama,Ben Affleck,2016,129,10.38
PK,Comedy;Drama;Romance,Rajkumar Hirani,2014,153,10.57
Nocturnal Animals,Drama;Thriller,Tom Ford,2016,116,10.64
The Gunman,Action;Crime;Drama,Pierre Morel,2015,115,10.64
The Drop,Crime;Drama;Mystery,Michael Roskam,2014,106,10.72
Pride and Prejudice and Zombies,Action;Horror;Romance,Burr Steers,2016,108,10.91
Café Society,Comedy;Drama;Romance,Woody Allen,2016,96,11.08
Dangal,Action;Biography;Drama,Nitesh Tiwari,2016,161,11.15
Jane Eyre,Drama;Romance,Cary Joji Fukunaga,2011,120,11.23
The Lives of Others,Drama;Thriller,Florian Henckel von Donnersmarck,2006,137,11.28
Out of the Furnace,Crime;Drama;Thriller,Scott Cooper,2013,116,11.33
Let Me In,Drama;Horror;Mystery,Matt Reeves,2010,116,12.13
Self/less,Action;Mystery;Sci-Fi,Tarsem Singh,2015,117,12.28
The Light Between Oceans,Drama;Romance,Derek Cianfrance,2016,133,12.53
Triple 9,Action;Crime;Drama,John Hillcoat,2016,115,12.63
The Danish Girl,Biography;Drama;Romance,Tom Hooper,2015,119,12.71
The Founder,Biography;Drama;History,John Lee Hancock,2016,115,12.79
Anna Karenina,Drama;Romance,Joe Wright,2012,129,12.8
Whiplash,Drama;Music,Damien Chazelle,2014,107,13.09
The Intouchables,Biography;Comedy;Drama,Olivier Nakache,2011,112,13.18
The Tree of Life,Drama;Fantasy,Terrence Malick,2011,139,13.3
Dredd,Action;Sci-Fi,Pete Travis,2012,95,13.4
Burnt,Comedy;Drama,John Wells,2015,101,13.65
Warrior,Action;Drama;Sport,Gavin O'Connor,2011,140,13.65
Sin City: A Dame to Kill For,Action;Crime;Thriller,Frank Miller,2014,102,13.75
One Day,Drama;Romance,Lone Scherfig,2011,107,13.77
Jackie,Biography;Drama;History,Pablo Larrain,2016,100,13.96
What's Your Number?,Comedy;Romance,Mark Mylod,2011,106,13.99
Love & Friendship,Comedy;Drama;Romance,Whit Stillman,2016,90,14.01
Spring Breakers,Drama,Harmony Korine,2012,94,14.12
Disaster Movie,Comedy,Jason Friedberg,2008,87,14.17
The Edge of Seventeen,Comedy;Drama,Kelly Fremon Craig,2016,104,14.26
Criminal,Action;Crime;Drama,Ariel Vromen,2016,113,14.27
Hello  My Name Is Doris,Comedy;Drama;Romance,Michael Showalter,2015,95,14.44
It Follows,Horror;Mystery,David Robert Mitchell,2014,100,14.67
Room,Drama,Lenny Abrahamson,2015,118,14.68
Keeping Up with the Joneses,Action;Comedy,Greg Mottola,2016,105,14.9
Seven Psychopaths,Comedy;Crime,Martin McDonagh,2012,110,14.99
About Time,Comedy;Drama;Fantasy,Richard Curtis,2013,123,15.29
The Infiltrator,Biography;Crime;Drama,Brad Furman,2016,127,15.43
The Ghost Writer,Mystery;Thriller,Roman Polanski,2010,128,15.52
The Hurt Locker,Drama;History;Thriller,Kathryn Bigelow,2008,131,15.7
Eddie the Eagle,Biography;Comedy;Drama,Dexter Fletcher,2016,106,15.79
Marie Antoinette,Biography;Drama;History,Sofia Coppola,2006,123,15.96
Begin Again,Drama;Music,John Carney,2013,104,16.17
Jennifer's Body,Comedy;Horror,Karyn Kusama,2009,102,16.2
The Master,Drama,Paul Thomas Anderson,2012,144,16.38
To Rome with Love,Comedy;Romance,Woody Allen,2012,112,16.68
The Counselor,Crime;Drama;Thriller,Ridley Scott,2013,117,16.97
Eastern Promises,Crime;Drama;Mystery,David Cronenberg,2007,100,17.11
Seventh Son,Action;Adventure;Fantasy,Sergei Bodrov,2014,102,17.18
Masterminds,Action;Comedy;Crime,Jared Hess,2016,95,17.36
Dope,Comedy;Crime;Drama,Rick Famuyiwa,2015,103,17.47
Hostel: Part II,Horror,Eli Roth,2007,94,17.54
The Perks of Being a Wallflower,Drama;Romance,Stephen Chbosky,2012,102,17.74
Steve Jobs,Biography;Drama,Danny Boyle,2015,122,17.75
127 Hours,Adventure;Biography;Drama,Danny Boyle,2010,94,18.33
Into the Wild,Adventure;Biography;Drama,Sean Penn,2007,148,18.35
Man on a Ledge,Action;Crime;Thriller,Asger Leth,2012,102,18.6
Eye in the Sky,Drama;Thriller;War,Gavin Hood,2015,102,18.7
The Choice,Drama;Romance,Ross Katz,2016,111,18.71
The imposible,Drama;Thriller,J.A. Bayona,2012,114,19.0
Remember Me,Drama;Romance,Allen Coulter,2010,113,19.06
Beautiful Creatures,Drama;Fantasy;Romance,Richard LaGravenese,2013,124,19.45
Nine Lives,Comedy;Family;Fantasy,Barry Sonnenfeld,2016,87,19.64
Gone Baby Gone,Crime;Drama;Mystery,Ben Affleck,2007,114,20.3
The Three Musketeers,Action;Adventure;Romance,Paul W.S. Anderson,2011,110,20.32
Keanu,Action;Comedy,Peter Atencio,2016,100,20.57
Blair Witch,Horror;Thriller,Adam Wingard,2016,89,20.75
2307: Winter's Dream,Sci-Fi,Joey Curtis,2016,101,20.76
Fantastic Mr. Fox,Animation;Adventure;Comedy,Wes Anderson,2009,87,21.0
Mechanic: Resurrection,Action;Adventure;Crime,Dennis Gansel,2016,98,21.2
Conan the Barbarian,Action;Adventure;Fantasy,Marcus Nispel,2011,113,21.27
The Place Beyond the Pines,Crime;Drama;Thriller,Derek Cianfrance,2012,140,21.38
Snowden,Biography;Drama;Thriller,Oliver Stone,2016,134,21.48
Your Highness,Adventure;Comedy;Fantasy,David Gordon Green,2011,102,21.56
Lucky Number Slevin,Crime;Drama;Mystery,Paul McGuigan,2006,110,22.49
Revolutionary Road,Drama;Romance,Sam Mendes,2008,119,22.88
Transcendence,Drama;Mystery;Romance,Wally Pfister,2014,119,23.01
Viking,Action;Drama;History,Andrey Kravchuk,2016,133,23.05
Vicky Cristina Barcelona,Drama;Romance,Woody Allen,2008,96,23.21
Pompeii,Action;Adventure;Drama,Paul W.S. Anderson,2014,105,23.22
Faster,Action;Crime;Drama,George Tillman Jr.,2010,98,23.23
Endless Love,Drama;Romance,Shana Feste,2014,104,23.39
Hot Fuzz,Action;Comedy;Mystery,Edgar Wright,2007,121,23.62
Bridget Jones's Baby,Comedy;Romance,Sharon Maguire,2016,118,24.09
Tinker Tailor Soldier Spy,Drama;Mystery;Thriller,Tomas Alfredson,2011,122,24.1
Across the Universe,Drama;Fantasy;Musical,Julie Taymor,2007,133,24.34
Don Jon,Comedy;Drama;Romance,Joseph Gordon-Levitt,2013,90,24.48
Never Back Down,Action;Drama;Sport,Jeff Wadlow,2008,110,24.85
In the Heart of the Sea,Action;Adventure;Biography,Ron Howard,2015,122,24.99
Piranha 3D,Comedy;Horror;Thriller,Alexandre Aja,2010,88,25.0
Grindhouse,Action;Horror;Thriller,Robert Rodriguez,2007,191,25.03
Escape Plan,Action;Crime;Mystery,Mikael Hafstrom,2013,115,25.12
The VVitch: A New-England Folktale,Horror;Mystery,Robert Eggers,2015,92,25.14
Boyhood,Drama,Richard Linklater,2014,165,25.36
Ex Machina,Drama;Mystery;Sci-Fi,Alex Garland,2014,108,25.44
Her,Drama;Romance;Sci-Fi,Spike Jonze,2013,126,25.56
The Mist,Horror,Frank Darabont,2007,126,25.59
A Walk Among the Tombstones,Crime;Drama;Mystery,Scott Frank,2014,114,25.98
The World's End,Action;Comedy;Sci-Fi,Edgar Wright,2013,109,26.0
That Awkward Moment,Comedy;Romance,Tom Gormican,2014,94,26.05
Ben-Hur,Action;Adventure;Drama,Timur Bekmambetov,2016,123,26.38
The Host,Action;Adventure;Romance,Andrew Niccol,2013,125,26.62
The Best of Me,Drama;Romance,Michael Hoffman,2014,118,26.76
The Other Boleyn Girl,Biography;Drama;History,Justin Chadwick,2008,115,26.81
Resident Evil: The Final Chapter,Action;Horror;Sci-Fi,Paul W.S. Anderson,2016,107,26.84
